benign,harm_direction,tfidf_text,perplexity_nll,length,n_attack,n_benign
benign,0.9719512195121951,1.0,0.4420731707317073,0.5652439024390243,82,20
benign_real,0.8929878048780487,0.988109756097561,0.6908536585365853,0.4996951219512195,82,40
benign_matched,0.8432055749128919,0.9980994615140957,0.6114982578397212,0.5091859360152043,82,77
