benign,harm_direction,tfidf_text,perplexity_nll,length,n_attack,n_benign
benign,0.9745454545454545,1.0,0.4954545454545455,0.48363636363636364,55,20
benign_real,0.8913636363636364,0.9940909090909091,0.7204545454545455,0.43454545454545457,55,40
