benign,harm_direction,tfidf_text,perplexity_nll,length,n_attack,n_benign
benign,0.9893548387096774,0.999247311827957,0.3735483870967742,0.7588709677419355,465,20
benign_real,0.9199462365591398,0.9815591397849462,0.7133333333333334,0.6185752688172043,465,40
